"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C4,C3,C15,C12,C10,C13,C7,C9,C5,C6,C1,C14,C8";"C_0603_1608Metric";13;"100nF";;;
2;"R6";"R_0402_1005Metric";1;"100k";;;
3;"U3";"Texas_S-PWSON-N6-HDC2080";1;"SHT31-DIS";;;
4;"J2";"PinHeader_1x04_P1.00mm_Vertical";1;"Conn_01x05_Pin";;;
5;"R3,R9,R8,R7";"R_0402_1005Metric";4;"10k";;;
6;"SW1";"SW_Push_1P1T_NO_CK_KMR2";1;"SW_Push";;;
7;"J4";"PinHeader_1x08_P1.00mm_Vertical";1;"Conn_01x08_Pin";;;
8;"R2,R1";"R_0402_1005Metric";2;"5.1k";;;
9;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
10;"R4,R5";"R_0402_1005Metric";2;"2.2k";;;
11;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
12;"";"";1;"";;;
13;"TP1,TP3,TP2,TP4";"TestPoint_Pad_1.0x1.0mm";4;"TestPoint";;;
14;"C2";"C_0603_1608Metric";1;"10uF";;;
15;"J1";"USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal";1;"USB_C_Receptacle_PowerOnly_6P";;;
16;"Y1";"Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm";1;"ECS-2520MV-xxx-xx";;;
